checkEnvironment;checkPhysical;ppd;checkEmotion;room;hour;minute;humidity;luminosity;temperature;pmv;emotion
0.0;1.0;5.376514721522568;0.0;15.0;14.0;30.0;27.6643865890736;974.514705269572;25.7893349168646;0.13481094880555938;4.0
0.0;1.0;10.200118686097397;1.0;16.0;14.0;30.0;25.0694774266667;27.2538926864556;27.0795555555556;0.4988163438238461;3.0
0.0;1.0;5.733648821304911;0.0;17.0;14.0;30.0;27.3417774553506;828.070834119188;25.9766051660517;0.1881116494877178;4.0
1.0;1.0;9.684312126148725;0.0;18.0;14.0;30.0;31.8832854813187;705.718994127473;23.6362637362637;-0.4736205897306914;4.0
1.0;0.0;31.401326714174175;0.0;19.0;14.0;30.0;35.6646363956044;251.895778786264;21.3598901098901;-1.119275097999547;1.0
0.0;1.0;5.624043947971842;0.0;20.0;14.0;30.0;27.5086346461538;516.996278876923;25.9241758241758;0.1735116674977661;4.0
1.0;1.0;10.101460161376764;0.0;21.0;14.0;30.0;30.4697692703297;1345.91741878242;23.6002197802198;-0.49409900081227276;4.0
0.0;0.0;99.73906230842142;1.0;22.0;14.0;30.0;75.5264957333333;866.572062173333;13.486;-3.225679622063998;3.0
1.0;0.0;26.612021668651778;0.0;1.0;14.0;40.0;36.6109334505495;836.382855434066;21.7075824175824;-1.011632911205511;4.0
0.0;1.0;7.704068178009976;0.0;3.0;14.0;40.0;30.0701742725275;434.875488283516;24.0616483516484;-0.36045212122076803;4.0
1.0;1.0;14.57170715043;0.0;4.0;14.0;40.0;32.3143296533333;381.257798942222;22.9451111111111;-0.6748754486402924;1.0
0.0;1.0;5.001395841073091;0.0;5.0;14.0;40.0;29.3372449112948;1127.09066429807;25.2667768595041;-0.008211583457238327;4.0
0.0;1.0;5.542613559268688;1.0;6.0;14.0;40.0;27.527783021883;171.865215739847;25.8843002544529;0.1618092803248697;3.0
0.0;1.0;21.382525645552562;0.0;7.0;14.0;40.0;40.6701833245902;72.1665679444262;22.0644262295082;-0.8809118506203257;1.0
1.0;1.0;12.110021093878188;0.0;8.0;14.0;40.0;31.976413010989;1162.30891300879;23.2661538461538;-0.5824857353368315;4.0
0.0;1.0;15.944167131663264;0.0;9.0;14.0;40.0;32.7561551066667;61.8828667537778;22.7767777777778;-0.7211681987643753;1.0
1.0;0.0;37.141903472839836;0.0;10.0;14.0;40.0;38.5752382;200.144449872667;20.8951111111111;-1.2383426465788232;1.0
1.0;1.0;9.576180174985112;0.0;11.0;14.0;40.0;30.7595958351648;284.383585166154;23.6808791208791;-0.4681623500376656;1.0
0.0;1.0;11.659889897962486;1.0;12.0;14.0;40.0;26.0971287733333;162.322432906704;27.2685555555556;0.5639139656728634;3.0
0.0;1.0;5.126290088489597;0.0;13.0;14.0;40.0;27.881139398895;1103.2273097547;25.5939226519337;0.0780971036615992;4.0
0.0;0.0;35.642692347145925;1.0;14.0;14.0;40.0;21.4651322177778;7.71416558216667;29.551;1.2080685158219757;3.0
0.0;1.0;5.463333312527936;0.0;15.0;14.0;40.0;27.5655894098824;1053.96943933835;25.8428941176471;0.14953438979946126;4.0
0.0;1.0;10.160110351481947;1.0;16.0;14.0;40.0;25.00296616;27.2115071611222;27.0753333333333;0.49690888654652754;3.0
0.0;1.0;5.618575776201695;0.0;17.0;14.0;40.0;27.280351802214;790.346152679705;25.9275645756458;0.17275078492451662;4.0
1.0;1.0;8.993494033680335;0.0;18.0;14.0;40.0;31.8208296711111;719.706217425556;23.7584444444444;-0.4375497989307021;4.0
